name,city,state,type,stream,fees,cutoff,rank,exam,rating,placement_rate,avg_package,top_recruiters,facilities
Shiva College of Pharmacy,Indore,Madhya Pradesh,Private,Pharmacy,103000,64,268,Merit,3.6,57%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Devi Ahilya Institute of Pharmaceutical Sciences,Indore,Madhya Pradesh,Private,Pharmacy,89000,75,303,NEET,3.6,53%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Devi Ahilya Pharmacy College,Indore,Madhya Pradesh,Private,Pharmacy,113000,59,292,NEET,3.6,50%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Aryabhatta Institute of Pharmaceutical Sciences,Indore,Madhya Pradesh,Private,Pharmacy,103000,66,150,NEET,4.0,85%,Rs 3 LPA,"Divi's Labs, Aurobindo Pharma, Retail Chains","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Prestige College of Pharmacy,Indore,Madhya Pradesh,Private,Pharmacy,81000,72,230,Merit,3.8,56%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Vertex Pharmacy College,Indore,Madhya Pradesh,Private,Pharmacy,88000,74,270,NEET,4.1,58%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Swami Vivekananda Institute of Pharmaceutical Sciences,Indore,Madhya Pradesh,Private,Pharmacy,88000,66,325,Merit,4.0,59%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Narmada College of Pharmacy,Indore,Madhya Pradesh,Private,Pharmacy,88000,59,186,Merit,3.7,72%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Vikramaditya College of Pharmacy,Indore,Madhya Pradesh,Private,Pharmacy,110000,63,221,Merit,3.8,51%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Paramount College of Pharmacy,Indore,Madhya Pradesh,Private,Pharmacy,107000,75,187,Merit,3.6,63%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Malwa College of Pharmacy,Indore,Madhya Pradesh,Private,Pharmacy,114000,72,207,NEET,4.2,61%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Vidyapeeth Institute of Pharmaceutical Sciences,Indore,Madhya Pradesh,Private,Pharmacy,107000,74,226,NEET,3.7,70%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Central India College of Legal Studies,Indore,Madhya Pradesh,Private,Law,117000,74,152,Merit,3.7,61%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Global Law College,Indore,Madhya Pradesh,Private University,Law,129000,67,205,CLAT,4.2,53%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Bright Institute of Law,Indore,Madhya Pradesh,Private University,Law,98000,76,152,Merit,3.7,72%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Core Institute of Law,Indore,Madhya Pradesh,Private University,Law,68000,77,131,Merit,4.0,89%,Rs 8 LPA,"Local Law Firms, LPOs, Corporate Legal","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Eminent Law College,Indore,Madhya Pradesh,Private University,Law,140000,64,227,Merit,4.0,58%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Vindhya Law College,Indore,Madhya Pradesh,Private University,Law,110000,61,116,Merit,3.9,87%,Rs 7 LPA,"Local Law Firms, LPOs, Corporate Legal","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Vision College of Legal Studies,Indore,Madhya Pradesh,Private,Law,93000,70,208,Merit,3.8,68%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Indore Institute of Law,Indore,Madhya Pradesh,Private University,Law,138000,72,217,CLAT,4.0,63%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Core College of Legal Studies,Indore,Madhya Pradesh,Private,Law,73000,79,238,Merit,3.7,59%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Pioneer Law College,Indore,Madhya Pradesh,Private,Law,135000,75,138,Merit,4.0,76%,Rs 7 LPA,"Local Law Firms, LPOs, Corporate Legal","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Pragyan College of Legal Studies,Indore,Madhya Pradesh,Private,Law,112000,67,215,Merit,3.5,53%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Pinnacle College of Education,Indore,Madhya Pradesh,Government Aided,Education,52000,51,233,Merit,3.7,67%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Pioneer B.Ed College,Indore,Madhya Pradesh,Private,Education,38000,64,273,Merit,3.6,71%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Vikramaditya Teachers Training Institute,Indore,Madhya Pradesh,Private,Education,34000,58,245,Merit,4.1,67%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Narmada Teachers Training Institute,Indore,Madhya Pradesh,Government Aided,Education,35000,50,329,Merit,4.0,64%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Modern College of Education,Indore,Madhya Pradesh,Private,Education,54000,63,320,Merit,3.6,65%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Shiva College of Education,Indore,Madhya Pradesh,Private,Education,46000,70,219,Merit,3.8,70%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Paramount B.Ed College,Indore,Madhya Pradesh,Government Aided,Education,32000,52,271,Merit,3.5,55%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Prestige B.Ed College,Indore,Madhya Pradesh,Government Aided,Education,39000,50,267,Merit,3.6,51%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Rani Ahilyabai Teachers Training Institute,Indore,Madhya Pradesh,Private,Education,39000,62,297,Merit,3.9,65%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Matrix College of Education,Indore,Madhya Pradesh,Government Aided,Education,30000,63,289,Merit,4.1,65%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Paramount School of Architecture,Indore,Madhya Pradesh,Private University,Architecture,138000,73,82,NATA,3.6,86%,Rs 3 LPA,"Schools, Local Businesses, Media","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Aryabhatta College of Architecture,Indore,Madhya Pradesh,Private University,Architecture,90000,75,117,NATA,4.1,79%,Rs 4 LPA,"Schools, Local Businesses, Media","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Prime School of Architecture,Indore,Madhya Pradesh,Private,Architecture,120000,76,176,NATA,4.0,73%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
